sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PV2094,LRWRP,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:00:00,1.0,16.3,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-05
PV2112,CHWW,rawWW,cpTP24h,,2022-12-01 07:00:00,2022-12-02 07:00:00,0.5,8.3,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-02
PV2113,CHWW,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:00:00,0.5,6.3,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-05
PV2114,TB,rawWW,cpTP24h,,2022-12-01 09:15:00,2022-12-02 09:10:00,0.5,6.8,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-02
PV2116,LRPCP,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1.0,15.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-06
PV2117,LRPCP,rawWW,cpTP24h,,2022-12-06 00:00:00,2022-12-07 00:00:00,1.0,15.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-07
PV2118,LRWRP,rawWW,cpTP24h,,2022-12-05 07:00:00,2022-12-06 07:00:00,1.0,16.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-06
PV2119,LRWRP,rawWW,cpTP24h,,2022-12-06 07:00:00,2022-12-07 07:00:00,1.0,16.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-07
PV2136,CHWW,rawWW,cpTP24h,,2022-12-06 07:00:00,2022-12-07 07:00:00,0.5,13.4,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-07
PV2137,TB,rawWW,cpTP24h,,2022-12-06 08:45:00,2022-12-07 09:00:00,0.5,6.3,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-07
PV2138,LA,rawWW,cpTP24h,,2022-12-05 08:00:00,2022-12-06 08:00:00,1.0,14.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-06
PV2139,LRPCP,rawWW,cpTP24h,,2022-12-07 00:00:00,2022-12-08 00:00:00,1.0,16.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-08
PV2140,LRPCP,rawWW,cpTP24h,,2022-12-08 00:00:00,2022-12-09 00:00:00,1.0,15.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-09
PV2141,LRWRP,rawWW,cpTP24h,,2022-12-07 06:40:00,2022-12-08 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-08
PV2142,LRWRP,rawWW,cpTP24h,,2022-12-08 07:00:00,2022-12-09 07:00:00,1.0,16.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-09
PV2146,MQ Blank,,grb,2022-12-12 09:00:00,,,,,,,,,2022-12-12
PV2147,AM,rawWW,cpTP24h,,2022-12-08 06:00:00,2022-12-09 06:00:00,1.0,16.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-09
PV2148,AM,rawWW,cpTP24h,,2022-12-11 06:00:00,2022-12-12 06:00:00,1.0,9.3,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-12
