uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_CHWW56_T,CHWW,PV94,McKay-GLIER,2021-11-29 00:00:00,wwTemp,,Field hand-held temperature probe,max,,,9.1,oC,,
SM_CHWW56_pH,CHWW,PV94,McKay-GLIER,2021-11-29 00:00:00,wwpH,,Field hand-held probe,max,,,7.33,,,
SM_LPCC147_F,LPCC,PV96,McKay-GLIER,2021-12-01 06:00:00,wwFlow,,Measured daily average flow,mean,,,260.0,L/s,,
SM_LPCC147_T,LPCC,PV96,McKay-GLIER,2021-12-01 06:00:00,wwTemp,,Field hand-held temperature probe,max,,,16.1,oC,,
SM_LPCC147_pH,LPCC,PV96,McKay-GLIER,2021-12-01 06:00:00,wwpH,,Field hand-held probe,max,,,8.26,,,
SM_LRWRP171_F,LRWRP,PV98,McKay-GLIER,2021-12-01 06:30:00,wwFlow,,Measured daily average flow,mean,,,97.0,ML/D,,
SM_LRWRP171_T,LRWRP,PV98,McKay-GLIER,2021-12-01 06:30:00,wwTemp,,Field hand-held temperature probe,max,,,15.0,oC,,
SM_LRWRP171_pH,LRWRP,PV98,McKay-GLIER,2021-12-01 06:30:00,wwpH,,Field hand-held probe,max,,,6.8,,,
SM_TB75_F,TB,PV112,McKay-GLIER,2021-12-01 09:15:00,wwFlow,,Measured daily average flow,mean,,,62.97,ML/D,,
SM_TB75_T,TB,PV112,McKay-GLIER,2021-12-01 09:15:00,wwTemp,,Field hand-held temperature probe,max,,,7.0,oC,,
SM_TB75_pH,TB,PV112,McKay-GLIER,2021-12-01 09:15:00,wwpH,,Field hand-held probe,max,,,7.45,,,
SM_CHWW57_F,CHWW,PV113,McKay-GLIER,2021-12-01 00:00:00,wwFlow,,Measured daily average flow,mean,,,25.44,ML/D,,
SM_CHWW57_T,CHWW,PV113,McKay-GLIER,2021-12-01 00:00:00,wwTemp,,Field hand-held temperature probe,max,,,12.0,oC,,
SM_CHWW57_pH,CHWW,PV113,McKay-GLIER,2021-12-01 00:00:00,wwpH,,Field hand-held probe,max,,,7.3,,,
SM_LPCC148_F,LPCC,PV114,McKay-GLIER,2021-12-03 06:30:00,wwFlow,,Measured daily average flow,mean,,,242.0,L/s,,
SM_LPCC148_T,LPCC,PV114,McKay-GLIER,2021-12-03 06:30:00,wwTemp,,Field hand-held temperature probe,max,,,15.7,oC,,
SM_LPCC148_pH,LPCC,PV114,McKay-GLIER,2021-12-03 06:30:00,wwpH,,Field hand-held probe,max,,,7.73,,,
SM_LRPCP168_F,LRPCP,PV115,McKay-GLIER,2021-12-02 23:59:00,wwFlow,,Measured daily average flow,mean,,,43020.0,m3/d,,
SM_LRPCP168_T,LRPCP,PV115,McKay-GLIER,2021-12-02 23:59:00,wwTemp,,Field hand-held temperature probe,max,,,16.5,oC,,
SM_LRPCP168_pH,LRPCP,PV115,McKay-GLIER,2021-12-02 23:59:00,wwpH,,Field hand-held probe,max,,,7.27,,,
SM_AM122_F,AM,PV122,McKay-GLIER,2021-12-06 06:30:00,wwFlow,,Measured daily average flow,mean,,,13214.5,m3/d,,
SM_AM122_T,AM,PV122,McKay-GLIER,2021-12-06 06:30:00,wwTemp,,Field hand-held temperature probe,max,,,7.8,oC,,
SM_AM122_pH,AM,PV122,McKay-GLIER,2021-12-06 06:30:00,wwpH,,Field hand-held probe,max,,,7.76,,,
SM_AM122_F_Spot,AM,PV122,McKay-GLIER,2021-12-06 06:30:00,wwFlow,,Field hand-held probe,max,,,812.2,m3/h,,
SM_LPCC149_F,LPCC,PV123,McKay-GLIER,2021-12-06 06:30:00,wwFlow,,Measured daily average flow,mean,,,301.0,L/s,,
SM_LPCC149_T,LPCC,PV123,McKay-GLIER,2021-12-06 06:30:00,wwTemp,,Field hand-held temperature probe,max,,,13.3,oC,,
SM_LPCC149_pH,LPCC,PV123,McKay-GLIER,2021-12-06 06:30:00,wwpH,,Field hand-held probe,max,,,7.89,,,
SM_LRPCP169_F,LRPCP,PV124,McKay-GLIER,2021-12-05 23:55:00,wwFlow,,Measured daily average flow,mean,,,115000.0,m3/d,,
SM_LRPCP169_T,LRPCP,PV124,McKay-GLIER,2021-12-05 23:55:00,wwTemp,,Field hand-held temperature probe,max,,,13.4,oC,,
SM_LRPCP169_pH,LRPCP,PV124,McKay-GLIER,2021-12-05 23:55:00,wwpH,,Field hand-held probe,max,,,6.9,,,
SM_CHWW58_T,CHWW,PV132,McKay-GLIER,2021-12-06 00:00:00,wwTemp,,Field hand-held probe,max,,,13.5,oC,,
SM_CHWW58_pH,CHWW,PV132,McKay-GLIER,2021-12-06 00:00:00,wwpH,,Field hand-held probe,max,,,7.78,,,
SM_CHWW58_F,CHWW,PV132,McKay-GLIER,2021-12-06 00:00:00,wwFlow,,Measured daily average flow,mean,,,30.51,ML/D,,
SM_TB76_T,TB,PV137,McKay-GLIER,2021-12-06 09:00:00,wwTemp,,Field hand-held probe,max,,,5.6,oC,,
SM_TB76_pH,TB,PV137,McKay-GLIER,2021-12-06 09:00:00,wwpH,,Field hand-held probe,max,,,7.57,,,
SM_TB76_F,TB,PV137,McKay-GLIER,2021-12-06 09:00:00,wwFlow,,Measured daily average flow,mean,,,60.93,ML/D,,
SM_TB76_TSS,TB,PV137,McKay-GLIER,2021-12-06 09:00:00,wwTSS,,Laboratory analysis,max,,,166.2,mg/L,,
SM_LRWRP174_T,LRWRP,PV136,McKay-GLIER,2021-12-08 07:00:00,wwTemp,,Field hand-held probe,max,,,15.1,oC,,
SM_LRWRP174_pH,LRWRP,PV136,McKay-GLIER,2021-12-08 07:00:00,wwpH,,Field hand-held probe,max,,,7.0,,,
SM_LRWRP174_F,LRWRP,PV136,McKay-GLIER,2021-12-08 07:00:00,wwFlow,,Measured daily average flow,mean,,,100.0,ML/D,,
SM_LRPCP170_T,LRPCP,PV135,McKay-GLIER,2021-12-07 23:59:00,wwTemp,,Field hand-held probe,max,,,14.0,oC,,
SM_LRPCP170_pH,LRPCP,PV135,McKay-GLIER,2021-12-07 23:59:00,wwpH,,Field hand-held probe,max,,,7.4,,,
