sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
D05.18.12.22,Darlington,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
E06.18.12.22,Newcastle,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
F07.18.12.22,Ajax,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,7.0,Yes,Samples shipped on ice from site to lab by courier
G08.18.12.22,Pickering,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S1.18.12.22,Barrie,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S3.18.12.22,Midland,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S4.19.12.22,Orillia,rawWW,cpTP24h,,2022-12-18,2022-12-19,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S1.17.12.22,Barrie,rawWW,cpTP24h,,2022-12-16,2022-12-17,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.19.12.22,Courtice,rawWW,cpTP24h,,2022-12-18,2022-12-19,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.20.12.22,Courtice,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
D05.20.12.22,Darlington,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
E06.20.12.22,Newcastle,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
F07.20.12.22,Ajax,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
G08.20.12.22,Pickering,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.20.12.22,Barrie,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S2.20.12.22,Collingwood,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S3.20.12.22,Midland,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S4.20.12.22,Orillia,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S5.20.12.22,Bracebridge,rawWW,cpTP24h,,2022-12-19,2022-12-20,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.18.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-17,2022-12-18,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S2.21.12.22,Collingwood,rawWW,cpTP24h,,2022-12-20,2022-12-21,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S5.21.12.22,Bracebridge,rawWW,cpTP24h,,2022-12-20,2022-12-21,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
A02.27.12.22,Corbett,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,5.0,Yes,Samples shipped on ice from site to lab by courier
B03.27.12.22,Harmony,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
F07.27.12.22,Ajax,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
G08.27.12.22,Pickering,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S1.27.12.22,Barrie,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,7.0,Yes,Samples shipped on ice from site to lab by courier
S2.27.12.22,Collingwood,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S3.27.12.22,Midland,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S4.27.12.22,Orillia,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S6.25.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-24,2022-12-25,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S2.26.12.22,Collingwood,rawWW,cpTP24h,,2022-12-25,2022-12-26,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S2.28.12.22,Collingwood,rawWW,cpTP24h,,2022-12-27,2022-12-28,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S1.23.12.22,Barrie,rawWW,cpTP24h,,2022-12-22,2022-12-23,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
A02.29.12.22,Corbett,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
