uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
98_SWP_013_nPMMoV_14_1_2021-10-01,SWP_013,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,14_1,1045.4867701643664,,114.28571428571428,2.2857142857142856,
99_SWP_013_nPMMoV_14_2_2021-10-01,SWP_013,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-01,2021-10-20,solid,nPMMoV,,gcMl,,14_2,1070.839750899275,,114.28571428571428,2.2857142857142856,
100_CWP_001_covN1_15_1_2021-10-08,CWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,15_1,0.0,,114.28571428571428,2.2857142857142856,
101_CWP_001_covN1_15_2_2021-10-08,CWP_001,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,15_2,0.0,,114.28571428571428,2.2857142857142856,
102_CWP_001_covE_15_1_2021-10-08,CWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,15_1,0.0,,114.28571428571428,2.2857142857142856,
103_CWP_001_covE_15_2_2021-10-08,CWP_001,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,15_2,0.0,,114.28571428571428,2.2857142857142856,
104_CWP_001_other_15_1_2021-10-08,CWP_001,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,15_1,1.4797044936925696,,114.28571428571428,2.2857142857142856,
105_CWP_001_other_15_2_2021-10-08,CWP_001,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,15_2,1.5252915821422084,,114.28571428571428,2.2857142857142856,
106_CWP_001_nPMMoV_15_1_2021-10-08,CWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,nPMMoV,,gcMl,,15_1,1874.1545583005527,,114.28571428571428,2.2857142857142856,
107_CWP_001_nPMMoV_15_2_2021-10-08,CWP_001,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,nPMMoV,,gcMl,,15_2,2076.9223289005495,,114.28571428571428,2.2857142857142856,
108_KLW_010_covN1_16_1_2021-10-08,KLW_010,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,16_1,0.0,,114.28571428571428,2.2857142857142856,
109_KLW_010_covN1_16_2_2021-10-08,KLW_010,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,16_2,0.0,,114.28571428571428,2.2857142857142856,
110_KLW_010_covE_16_1_2021-10-08,KLW_010,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,16_1,0.0,,114.28571428571428,2.2857142857142856,
111_KLW_010_covE_16_2_2021-10-08,KLW_010,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,16_2,0.7705401967271183,,114.28571428571428,2.2857142857142856,
112_KLW_010_other_16_1_2021-10-08,KLW_010,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,16_1,17.801487329472483,,114.28571428571428,2.2857142857142856,
113_KLW_010_other_16_2_2021-10-08,KLW_010,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,16_2,19.00286971058018,,114.28571428571428,2.2857142857142856,
114_KLW_010_nPMMoV_16_1_2021-10-08,KLW_010,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,nPMMoV,,gcMl,,16_1,1393.506817112384,,114.28571428571428,2.2857142857142856,
115_KLW_010_nPMMoV_16_2_2021-10-08,KLW_010,MacRSJH,PMMoV,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,nPMMoV,,gcMl,,16_2,1562.1150506982826,,114.28571428571428,2.2857142857142856,
116_KLW_011_covN1_17_1_2021-10-08,KLW_011,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,17_1,0.0,,114.28571428571428,2.2857142857142856,
117_KLW_011_covN1_17_2_2021-10-08,KLW_011,MacRSJH,N1,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covN1,,gcMl,,17_2,0.0,,114.28571428571428,2.2857142857142856,
118_KLW_011_covE_17_1_2021-10-08,KLW_011,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,17_1,0.7154423461826069,,114.28571428571428,2.2857142857142856,
119_KLW_011_covE_17_2_2021-10-08,KLW_011,MacRSJH,Egene,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,covE,,gcMl,,17_2,0.8239447481322795,,114.28571428571428,2.2857142857142856,
120_KLW_011_other_17_1_2021-10-08,KLW_011,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,17_1,2.1353814426704596,,114.28571428571428,2.2857142857142856,
121_KLW_011_other_17_2_2021-10-08,KLW_011,MacRSJH,MS2,Bio-Rad CFX96,DB,2021-10-08,2021-10-20,solid,other,,gcMl,,17_2,1.7800859586870679,,114.28571428571428,2.2857142857142856,
