sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
MUC1_148,MUC1,rawWW,grb,2022-12-02 07:14:00,,,,,yes,
MUC2_138,MUC2,rawWW,grb,2022-12-02 07:23:00,,,,,yes,
MUC3_155,MUC3,rawWW,grb,2022-12-02 07:32:00,,,,,yes,
MUC1_149,MUC1,rawWW,grb,2022-12-05 07:14:00,,,,,yes,
MUC2_139,MUC2,rawWW,grb,2022-12-05 07:20:00,,,,,yes,
MUC3_156,MUC3,rawWW,grb,2022-12-05 07:35:00,,,0.72,,yes,
MSTP_085,MSTP,rawWW,cpTP24h,,2022-12-01 09:00:00,2022-12-02 09:00:00.000,,,yes,
SWP_196,SWP,rawWW,cpTP24h,,2022-12-01 07:00:00,2022-12-02 07:00:00.000,8.0,7.0,yes,
SWP_197,SWP,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:00:00.000,8.0,6.9,yes,
CBW_171,CBW,rawWW,cpTP24h,,2022-12-01 07:40:00,2022-12-02 07:35:00.000,9.5,,yes,
CBW_172,CBW,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:21:00.000,9.5,4.1,yes,
BFW_181,BFW,rawWW,cpTP24h,,2022-12-01 09:30:00,2022-12-02 09:30:00.000,9.6,11.2,yes,
BFW_182,BFW,rawWW,cpTP24h,,2022-12-04 09:00:00,2022-12-05 09:00:00.000,9.6,9.2,yes,
STW_180,STW,rawWW,cpTP24h,,2022-12-01 09:10:00,2022-12-02 09:10:00.000,16.0,,yes,
OWSD_149,OWSD,rawWW,cpTP24h,,2022-12-04 07:00:00,2022-12-05 07:00:00.000,12.0,13.5,yes,
KLW_179,KLW,rawWW,cpTP24h,,2022-11-29 14:30:00,2022-11-30 14:30:00.000,3.0,6.9,yes,
KLW_180,KLW,rawWW,cpTP24h,,2022-12-01 08:32:00,2022-12-02 08:32:00.000,3.0,13.4,yes,
GWP_180,GWP,rawWW,cpTP24h,,2022-12-01 07:00:00,2022-12-02 07:00:00.000,2.4,,yes,
GWP_181,GWP,rawWW,cpTP24h,,2022-12-04 09:00:00,2022-12-05 09:00:00.000,2.4,,yes,
CWP_164,CWP,rawWW,cpTP24h,,2022-12-01 07:30:00,2022-12-02 07:40:00.000,2.4,9.5,yes,
