sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
O_0227,Ottawa WWTP,pSludge,cpTP24h,2021-04-12 00:00:00,2021-04-11 00:00:00,2021-04-12 00:00:00,0.5,,Yes,,,
O_0228,Ottawa WWTP,pSludge,cpTP24h,2021-04-13 00:00:00,2021-04-12 00:00:00,2021-04-13 00:00:00,0.5,,Yes,,,
O_0229,Ottawa WWTP,pSludge,cpTP24h,2021-04-14 00:00:00,2021-04-13 00:00:00,2021-04-14 00:00:00,0.5,,Yes,,,
O_0230,Ottawa WWTP,pSludge,cpTP24h,2021-04-15 00:00:00,2021-04-14 00:00:00,2021-04-15 00:00:00,0.5,,Yes,,,
O_0231,Ottawa WWTP,pSludge,cpTP24h,2021-04-16 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00,0.5,,Yes,,,
O_0232,Ottawa WWTP,pSludge,cpTP24h,2021-04-17 00:00:00,2021-04-16 00:00:00,2021-04-17 00:00:00,0.5,,Yes,,,
O_0233,Ottawa WWTP,pSludge,cpTP24h,2021-04-18 00:00:00,2021-04-17 00:00:00,2021-04-18 00:00:00,0.5,,Yes,,,
O_0234,Ottawa WWTP,pSludge,cpTP24h,2021-04-19 00:00:00,2021-04-18 00:00:00,2021-04-19 00:00:00,0.5,,Yes,,,
O_0235,Ottawa WWTP,pSludge,cpTP24h,2021-04-20 00:00:00,2021-04-19 00:00:00,2021-04-20 00:00:00,0.5,,Yes,,,
O_0236,Ottawa WWTP,pSludge,cpTP24h,2021-04-21 00:00:00,2021-04-20 00:00:00,2021-04-21 00:00:00,0.5,,Yes,,,
O_0237,Ottawa WWTP,pSludge,cpTP24h,2021-04-22 00:00:00,2021-04-21 00:00:00,2021-04-22 00:00:00,0.5,,Yes,,,
O_0238,Ottawa WWTP,pSludge,cpTP24h,2021-04-23 00:00:00,2021-04-22 00:00:00,2021-04-23 00:00:00,0.5,,Yes,,,
O_0239,Ottawa WWTP,pSludge,cpTP24h,2021-04-24 00:00:00,2021-04-23 00:00:00,2021-04-24 00:00:00,0.5,,Yes,,,
O_0240,Ottawa WWTP,pSludge,cpTP24h,2021-04-25 00:00:00,2021-04-24 00:00:00,2021-04-25 00:00:00,0.5,,Yes,,,
O_0241,Ottawa WWTP,pSludge,cpTP24h,2021-04-26 00:00:00,2021-04-25 00:00:00,2021-04-26 00:00:00,0.5,,Yes,,,
O_0242,Ottawa WWTP,pSludge,cpTP24h,2021-04-27 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,0.5,,Yes,,,
O_0243,Ottawa WWTP,pSludge,cpTP24h,2021-04-28 00:00:00,2021-04-27 00:00:00,2021-04-28 00:00:00,0.5,,Yes,,,
O_0244,Ottawa WWTP,pSludge,cpTP24h,2021-04-29 00:00:00,2021-04-28 00:00:00,2021-04-29 00:00:00,0.5,,Yes,,,
