sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CB221122,CB,rawWW,cpTP24h,,2022-11-21 00:00:00,2022-11-22 00:00:00,1,,Yes,
CB221123,CB,rawWW,cpTP24h,,2022-11-22 00:00:00,2022-11-23 00:00:00,1,,Yes,
CB221124,CB,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
KS221124,KS,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
HB221124,HB,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
LT221123,LT,rawWW,cpTP24h,,2022-11-22 00:00:00,2022-11-23 00:00:00,1,,Yes,
LT221124,LT,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
LT221125,LT,rawWW,cpTP24h,,2022-11-24 00:00:00,2022-11-25 00:00:00,1,,Yes,
LT221125,LT,rawWW,cpTP24h,,2022-11-24 00:00:00,2022-11-25 00:00:00,1,,Yes,
RV221125,RV,rawWW,cpTP24h,,2022-11-24 00:00:00,2022-11-25 00:00:00,1,,Yes,
RV221126,RV,rawWW,cpTP24h,,2022-11-25 00:00:00,2022-11-26 00:00:00,1,,Yes,
CB221126,CB,rawWW,cpTP24h,,2022-11-25 00:00:00,2022-11-26 00:00:00,1,,Yes,
CM221124,CM,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
MB221123,MB,rawWW,cpTP24h,,2022-11-22 00:00:00,2022-11-23 00:00:00,1,,Yes,
MB221124,MB,rawWW,cpTP24h,,2022-11-23 00:00:00,2022-11-24 00:00:00,1,,Yes,
KS221128,KS,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
RV221127,RV,rawWW,cpTP24h,,2022-11-26 00:00:00,2022-11-27 00:00:00,1,,Yes,
RV221128,RV,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
CB221127,CB,rawWW,cpTP24h,,2022-11-26 00:00:00,2022-11-27 00:00:00,1,,Yes,
CB221128,CB,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
CW221128,CW,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
LT221128,LT,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
LT221129,LT,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
HB221129,HB,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
HB221129,HB,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
CW221129,CW,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
MB221129,MB,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
WB221126,WB,rawWW,cpTP24h,,2022-11-25 00:00:00,2022-11-26 00:00:00,1,,Yes,
WB221128,WB,rawWW,cpTP24h,,2022-11-27 00:00:00,2022-11-28 00:00:00,1,,Yes,
HB221130,HB,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
CM221129,CM,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
CM221130,CM,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
CW221130,CW,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
RV221129,RV,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
RV221130,RV,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
RV221201,RV,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
CB221129,CB,rawWW,cpTP24h,,2022-11-28 00:00:00,2022-11-29 00:00:00,1,,Yes,
CB221130,CB,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
CB221201,CB,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
KS221201,KS,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
HB221201,HB,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
CM221201,CM,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
MB221130,MB,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
MB221201,MB,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
LT221130,LT,rawWW,cpTP24h,,2022-11-29 00:00:00,2022-11-30 00:00:00,1,,Yes,
LT221201,LT,rawWW,cpTP24h,,2022-11-30 00:00:00,2022-12-01 00:00:00,1,,Yes,
LT221202,LT,rawWW,cpTP24h,,2022-12-01 00:00:00,2022-12-02 00:00:00,1,,Yes,
LT221202,LT,rawWW,cpTP24h,,2022-12-01 00:00:00,2022-12-02 00:00:00,1,,Yes,
RV221202,RV,rawWW,cpTP24h,,2022-12-01 00:00:00,2022-12-02 00:00:00,1,,Yes,
RV221203,RV,rawWW,cpTP24h,,2022-12-02 00:00:00,2022-12-03 00:00:00,1,,Yes,
RV221204,RV,rawWW,cpTP24h,,2022-12-03 00:00:00,2022-12-04 00:00:00,1,,Yes,
RV221205,RV,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
