sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
GT181,GT,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
MH181,MH,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
OSE181,OSE,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
OSW181,OSW,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
SKY181,SKY,rawWW,cpTP24h,,2021-01-17 00:00:00,2021-01-18 00:00:00,1.0,,Yes,,,
ACT201,ACT,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
GT201,GT,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
MH201,MH,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
OSE201,OSE,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
OSW201,OSW,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
SKY201,SKY,rawWW,cpTP24h,,2021-01-19 00:00:00,2021-01-20 00:00:00,1.0,,Yes,,,
ACT221,ACT,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
GT221,GT,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
MH221,MH,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
OSE221,OSE,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
OSW221,OSW,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
SKY221,SKY,rawWW,cpTP24h,,2021-01-21 00:00:00,2021-01-22 00:00:00,1.0,,Yes,,,
ACT251,ACT,rawWW,cpTP24h,,2021-01-24 00:00:00,2021-01-25 00:00:00,1.0,,Yes,,,
GT251,GT,rawWW,cpTP24h,,2021-01-24 00:00:00,2021-01-25 00:00:00,1.0,,Yes,,,
MH251,MH,rawWW,cpTP24h,,2021-01-24 00:00:00,2021-01-25 00:00:00,1.0,,Yes,,,
OSE251,OSE,rawWW,cpTP24h,,2021-01-24 00:00:00,2021-01-25 00:00:00,1.0,,Yes,,,
OSW251,OSW,rawWW,cpTP24h,,2021-01-24 00:00:00,2021-01-25 00:00:00,1.0,,Yes,,,
SKY251,SKY,rawWW,grb,2021-01-25 12:00:00,,,1.0,,Yes,,,
ACT271,ACT,rawWW,cpTP24h,,2021-01-26 00:00:00,2021-01-27 00:00:00,1.0,,Yes,,,
GT271,GT,rawWW,cpTP24h,,2021-01-26 00:00:00,2021-01-27 00:00:00,1.0,,Yes,,,
OSE271,OSE,rawWW,cpTP24h,,2021-01-26 00:00:00,2021-01-27 00:00:00,1.0,,Yes,,,
OSW271,OSW,rawWW,cpTP24h,,2021-01-26 00:00:00,2021-01-27 00:00:00,1.0,,Yes,,,
SKY271,SKY,rawWW,cpTP24h,,2021-01-26 00:00:00,2021-01-27 00:00:00,1.0,,Yes,,,
ACT291,ACT,rawWW,cpTP24h,,2021-01-28 00:00:00,2021-01-29 00:00:00,1.0,,Yes,,,
GT291,GT,rawWW,cpTP24h,,2021-01-28 00:00:00,2021-01-29 00:00:00,1.0,,Yes,,,
MH291,MH,rawWW,cpTP24h,,2021-01-28 00:00:00,2021-01-29 00:00:00,1.0,,Yes,,,
OSE291,OSE,rawWW,cpTP24h,,2021-01-28 00:00:00,2021-01-29 00:00:00,1.0,,Yes,,,
