sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes,sampleDate
fac1a_2021Aug10_c24,fac1a,rawWW,cpTP24h,,2021-08-09 08:20:00,2021-08-10 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-10
fac1a_2021Aug12_c24,fac1a,rawWW,cpTP24h,,2021-08-11 08:25:00,2021-08-12 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-12
fac1a_2021Aug17_c23,fac1a,rawWW,cpTP24h,,2021-08-16 10:40:00,2021-08-17 09:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-17
fac1a_2021Aug19_c23,fac1a,rawWW,cpTP24h,,2021-08-18 11:00:00,2021-08-19 10:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-19
fac1a_2021Aug24_c24,fac1a,rawWW,cpTP24h,,2021-08-23 08:30:00,2021-08-24 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-24
fac1a_2021Aug26_c24,fac1a,rawWW,cpTP24h,,2021-08-25 08:30:00,2021-08-26 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-26
fac1a_2021Aug31_c24,fac1a,rawWW,cpTP24h,,2021-08-30 09:00:00,2021-08-31 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-31
fac1a_2021Sep02_c22,fac1a,rawWW,cpTP24h,,2021-09-01 08:23:00,2021-09-02 07:23:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-02
fac1a_2021Sep08_c24,fac1a,rawWW,cpTP24h,,2021-09-07 08:25:00,2021-09-08 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-08
fac1a_2021Sep09_c24,fac1a,rawWW,cpTP24h,,2021-09-08 08:45:00,2021-09-09 07:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-09
fac1a_2021Sep14_c24,fac1a,rawWW,cpTP24h,,2021-09-13 08:45:00,2021-09-14 07:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-14
