uWwMeasureID,sampleID,labID,assayMethodID,instrumentID,reporterID,analysisDate,reportDate,fractionAnalyzed,type,typeOther,unit,unitOther,index,value,qualityFlag,CF,ESV,notes
84_TPHAIL220906_2_covN1_2_2022-09-12,TPHAIL220906_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,2,24769.0271576025,,276.9230769,1.384615385,
85_TPHAIL220906_2_covN1_3_2022-09-12,TPHAIL220906_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,3,23036.2362353964,,276.9230769,1.384615385,
86_TPHAIL220906_2_covN2_1_2022-09-12,TPHAIL220906_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,1,27601.0718894936,,276.9230769,1.384615385,
87_TPHAIL220906_2_covN2_2_2022-09-12,TPHAIL220906_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,2,29140.7081060695,,276.9230769,1.384615385,
88_TPHAIL220906_2_covN2_3_2022-09-12,TPHAIL220906_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,3,35445.5672703519,,276.9230769,1.384615385,
89_TPHAIL220906_2_nPMMoV_1_2022-09-12,TPHAIL220906_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,1,3309939.186944,,276.9230769,1.384615385,
90_TPHAIL220906_2_nPMMoV_2_2022-09-12,TPHAIL220906_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,2,3480267.04588415,,276.9230769,1.384615385,
91_TPHAIL220906_2_nPMMoV_3_2022-09-12,TPHAIL220906_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,3,3607270.23744886,,276.9230769,1.384615385,
92_TPHAIL220907_1_covN1_1_2022-09-12,TPHAIL220907_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,1,4129.69957729045,,276.9230769,1.384615385,
93_TPHAIL220907_1_covN1_2_2022-09-12,TPHAIL220907_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,2,7027.8941564608,,276.9230769,1.384615385,
94_TPHAIL220907_1_covN1_3_2022-09-12,TPHAIL220907_1,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,3,5406.96288943323,,276.9230769,1.384615385,
95_TPHAIL220907_1_covN2_1_2022-09-12,TPHAIL220907_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,1,5065.85567813965,,276.9230769,1.384615385,
96_TPHAIL220907_1_covN2_2_2022-09-12,TPHAIL220907_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,2,3717.53020060135,,276.9230769,1.384615385,
97_TPHAIL220907_1_covN2_3_2022-09-12,TPHAIL220907_1,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,3,3691.26369327881,,276.9230769,1.384615385,
98_TPHAIL220907_1_nPMMoV_1_2022-09-12,TPHAIL220907_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,1,5389135.66911976,B,276.9230769,1.384615385,WPB >35Ct
99_TPHAIL220907_1_nPMMoV_2_2022-09-12,TPHAIL220907_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,2,5789637.03660755,B,276.9230769,1.384615385,WPB >35Ct
100_TPHAIL220907_1_nPMMoV_3_2022-09-12,TPHAIL220907_1,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,3,5707223.67612146,B,276.9230769,1.384615385,WPB >35Ct
101_TPHAIL220907_2_covN1_1_2022-09-12,TPHAIL220907_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,1,9068.46809415149,,276.9230769,1.384615385,
102_TPHAIL220907_2_covN1_2_2022-09-12,TPHAIL220907_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,2,7725.82878120477,,276.9230769,1.384615385,
103_TPHAIL220907_2_covN1_3_2022-09-12,TPHAIL220907_2,Ybazeta,N1_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,covN1,,gcL,,3,10567.1813247034,,276.9230769,1.384615385,
104_TPHAIL220907_2_covN2_1_2022-09-12,TPHAIL220907_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,1,9807.65339874546,,276.9230769,1.384615385,
105_TPHAIL220907_2_covN2_2_2022-09-12,TPHAIL220907_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,2,7592.99385721637,,276.9230769,1.384615385,
106_TPHAIL220907_2_covN2_3_2022-09-12,TPHAIL220907_2,Ybazeta,N2_qPCR_Assay,HSNRI_qPCR_1,Jknockleby,2022-09-12,2022-09-12,solid,covN2,,gcL,,3,9246.8723007575,,276.9230769,1.384615385,
107_TPHAIL220907_2_nPMMoV_1_2022-09-12,TPHAIL220907_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,1,12556810.0268632,,276.9230769,1.384615385,
108_TPHAIL220907_2_nPMMoV_2_2022-09-12,TPHAIL220907_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,2,7548150.57690152,,276.9230769,1.384615385,
109_TPHAIL220907_2_nPMMoV_3_2022-09-12,TPHAIL220907_2,Ybazeta,PMMoV_qPCR_Assay,HSNRI_qPCR_2,Jknockleby,2022-09-12,2022-09-12,solid,nPMMoV,,gcL,,3,8649515.37530722,,276.9230769,1.384615385,
