sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
TPHAIL230125_1,TPHAIL,rawWW,cpTP24h,,2023-01-24 08:00:00,2023-01-25 08:00:00,0.5,,Yes,,,
TPHAIL230127_1,TPHAIL,rawWW,cpTP24h,,2023-01-26 08:00:00,2023-01-27 08:00:00,0.5,,Yes,,,
TPHAIL230130_1,TPHAIL,rawWW,cpTP24h,,2023-01-29 08:00:00,2023-01-30 08:00:00,0.5,,Yes,,,
TPHAIL230201_1,TPHAIL,rawWW,cpTP24h,,2023-01-31 08:00:00,2023-02-01 08:00:00,0.5,,Yes,,,
TPHAIL230203_1,TPHAIL,rawWW,cpTP24h,,2023-02-02 08:00:00,2023-02-03 08:00:00,0.5,,Yes,,,
TPHAIL230206_1,TPHAIL,rawWW,cpTP24h,,2023-02-05 08:00:00,2023-02-06 08:00:00,0.5,,Yes,,,
TPHAIL230208_1,TPHAIL,rawWW,cpTP24h,,2023-02-07 08:00:00,2023-02-08 08:00:00,0.5,,Yes,,,
TPHAIL230210_1,TPHAIL,rawWW,cpTP24h,,2023-02-09 08:00:00,2023-02-10 08:00:00,0.5,,Yes,,,
TPHAIL230213_1,TPHAIL,rawWW,cpTP24h,,2023-02-12 08:00:00,2023-02-13 08:00:00,0.5,,Yes,,,
TPHAIL230215_1,TPHAIL,rawWW,cpTP24h,,2023-02-14 08:00:00,2023-02-15 08:00:00,0.5,,Yes,,,
TPHAIL230217_1,TPHAIL,rawWW,cpTP24h,,2023-02-16 08:00:00,2023-02-17 08:00:00,0.5,,Yes,,,
TPHAIL230222_1,TPHAIL,rawWW,cpTP24h,,2023-02-21 08:00:00,2023-02-22 08:00:00,0.5,,Yes,,,
TPHAIL230224_1,TPHAIL,rawWW,cpTP24h,,2023-02-23 08:00:00,2023-02-24 08:00:00,0.5,,Yes,,,
TPHAIL230227_1,TPHAIL,rawWW,cpTP24h,,2023-02-26 08:00:00,2023-02-27 08:00:00,0.5,,Yes,,,
TPHAIL230227_3,TPHAIL,rawWW,cpTP24h,,2023-02-26 08:00:00,2023-02-27 08:00:00,0.5,,Yes,,,
TPHAIL230301_1,TPHAIL,rawWW,cpTP24h,,2023-02-28 08:00:00,2023-03-01 08:00:00,0.5,,Yes,,,
TPHAIL230303_1,TPHAIL,rawWW,cpTP24h,,2023-03-02 08:00:00,2023-03-03 08:00:00,0.5,,Yes,,,
TPHAIL230306_1,TPHAIL,rawWW,cpTP24h,,2023-03-05 08:00:00,2023-03-06 08:00:00,0.5,,Yes,,,
TPHAIL230306_3,TPHAIL,rawWW,cpTP24h,,2023-03-05 08:00:00,2023-03-06 08:00:00,0.5,,Yes,,,
TPHAIL230308_1,TPHAIL,rawWW,cpTP24h,,2023-03-07 08:00:00,2023-03-08 08:00:00,0.5,,Yes,,,
TPHAIL230310_1,TPHAIL,rawWW,cpTP24h,,2023-03-09 08:00:00,2023-03-10 08:00:00,0.5,,Yes,,,
TPHAIL230313_1,TPHAIL,rawWW,cpTP24h,,2023-03-12 08:00:00,2023-03-13 08:00:00,0.5,,Yes,,,
TPHAIL230317_1,TPHAIL,rawWW,cpTP24h,,2023-03-16 08:00:00,2023-03-17 08:00:00,0.5,,Yes,,,
TPHAIL230320_1,TPHAIL,rawWW,cpTP24h,,2023-03-19 08:00:00,2023-03-20 08:00:00,0.5,,Yes,,,
TPHAIL230315_2,TPHAIL,rawWW,cpTP24h,,2023-03-14 08:00:00,2023-03-15 08:00:00,0.5,,Yes,,,
TPHAIL230322_1,TPHAIL,rawWW,cpTP24h,,2023-03-21 08:00:00,2023-03-22 08:00:00,0.5,,Yes,,,
TPHAIL230327_1,TPHAIL,rawWW,cpTP24h,,2023-03-26 08:00:00,2023-03-27 08:00:00,0.5,,Yes,,,changed the sampleID as per Data Entry Validation April23
TPHAIL230324_1,TPHAIL,rawWW,cpTP24h,,2023-03-23 08:00:00,2023-03-24 08:00:00,0.5,,Yes,,,
TPHAIL230329_1,TPHAIL,rawWW,cpTP24h,,2023-03-28 08:00:00,2023-03-29 08:00:00,0.5,,Yes,,,
TPHAIL230331_1,TPHAIL,rawWW,cpTP24h,,2023-03-30 08:00:00,2023-03-31 08:00:00,0.5,,Yes,,,
TPKAP210622_1,TPKAP,rawWW,cpTP24h,,2021-06-21 08:00:00,2021-06-22 09:00:00,0.5,,Yes,,,
TPKAP210622_2,TPKAP,rawWW,cpTP24h,,2021-06-21 08:00:00,2021-06-22 09:00:00,0.5,,Yes,,,
TPKAP210622_3,TPKAP,rawWW,cpTP24h,,2021-06-21 08:00:00,2021-06-22 09:00:00,0.5,,Yes,,,
TPKAP210629_1,TPKAP,rawWW,grb,2021-06-29 09:00:00,,,0.5,,Yes,,,
TPKAP210629_2,TPKAP,rawWW,grb,2021-06-29 09:00:00,,,0.5,,Yes,,,
TPKAP210629_3,TPKAP,rawWW,grb,2021-06-29 09:00:00,,,0.5,,Yes,,,
TPKAP210706_1,TPKAP,rawWW,grb,2021-07-05 09:15:00,,,0.5,,Yes,,,
TPKAP210706_2,TPKAP,rawWW,grb,2021-07-05 09:15:00,,,0.5,,Yes,,,
TPKAP210706_3,TPKAP,rawWW,grb,2021-07-05 09:15:00,,,0.5,,Yes,,,
TPKAP210714_1,TPKAP,rawWW,cpTP24h,,2021-07-13 08:00:00,2021-07-14 08:00:00,0.5,,Yes,,,
TPKAP210714_3,TPKAP,rawWW,cpTP24h,,2021-07-13 08:00:00,2021-07-14 08:00:00,0.5,,Yes,,,
TKAP210720_1,TPKAP,rawWW,cpTP24h,,2021-07-19 08:00:00,2021-07-20 08:00:00,0.5,,Yes,,,
TKAP210720_2,TPKAP,rawWW,cpTP24h,,2021-07-19 08:00:00,2021-07-20 08:00:00,0.5,,Yes,,,
TKAP210720_3,TPKAP,rawWW,cpTP24h,,2021-07-19 08:00:00,2021-07-20 08:00:00,0.5,,Yes,,,
TPKAP210727_1,TPKAP,rawWW,cpTP24h,,2021-07-26 08:00:00,2021-07-27 08:00:00,0.5,,yes,,,
TPKAP210803_1,TPKAP,rawWW,cpTP24h,,2021-08-02 08:00:00,2021-08-03 08:00:00,0.5,,yes,,,
TPKAP210810_1,TPKAP,rawWW,cpTP24h,,2021-08-09 08:00:00,2021-08-10 08:00:00,0.5,,Yes,,,
TPKAP210819_1,TPKAP,rawWW,cpTP24h,,2021-08-18 08:00:00,2021-08-19 08:00:00,0.5,,Yes,,,
TPKAP210824_1,TPKAP,rawWW,cpTP24h,,2021-08-23 08:00:00,2021-08-24 08:00:00,0.5,,Yes,,,
TPKAP210824_2,TPKAP,rawWW,cpTP24h,,2021-08-23 08:00:00,2021-08-24 08:00:00,0.5,,Yes,,,
TPKAP210831_1,TPKAP,rawWW,cpTP24h,,2021-08-30 08:00:00,2021-08-31 08:00:00,0.5,,Yes,,,
